time	temp
134.7	18.5095
134.842	18.5791
135	18.6569
135.5	18.9045
135.7	19.0038
135.9	19.1031
136.1	19.202
136.342	19.3212
136.5	19.3986
136.653	19.4731
137.3	19.783
137.5	19.877
137.724	19.9812
138.184	20.1914
138.49	20.328
139.5	20.7295
140.5	21.1266
141.245	21.4224
141.551	21.5261
141.857	21.6257
142.01	21.6739
142.163	21.721
142.622	21.8558
143.622	22.0856
144.618	22.3144
144.928	22.3654
145.134	22.396
145.546	22.4493
145.649	22.4609
146.268	22.5162
146.371	22.5228
146.474	22.5288
146.577	22.534
146.68	22.5385
146.886	22.5453
146.989	22.5475
147.092	22.549
147.195	22.5497
147.298	22.5497
147.608	22.5448
147.814	22.5376
147.917	22.5327
148.02	22.5271
148.123	22.5207
148.226	22.5134
148.329	22.5053
148.432	22.4964
148.535	22.4866
148.638	22.476
148.742	22.4644
148.948	22.4389
149.051	22.4248
149.36	22.3774
149.463	22.3598
149.669	22.322
149.8	22.296
149.978	22.2583
150.082	22.2351
150.288	22.1862
150.597	22.1058
150.831	22.0392
150.962	21.9997
151.092	21.9589
151.3	21.8905
152.3	21.5097
152.662	21.3602
152.792	21.3035
153.054	21.1869
153.185	21.1275
153.315	21.0679
153.577	20.9461
153.969	20.7606
154.1	20.6979
154.542	20.485
154.763	20.3783
154.983	20.2722
155.204	20.1661
155.4	20.0727
155.6	19.9781
155.8	19.8846
156	19.7924
156.2	19.7015
156.3	19.6567
156.529	19.5559
156.75	19.461
157	19.357
157.15	19.2964
157.35	19.2181
157.5	19.1611
157.633	19.1121
157.74	19.0737
157.85	19.0351
158	18.9842
158.2	18.9193
158.3	18.8881
158.5	18.8282
158.7	18.7717
158.8	18.7447
159.179	18.6496
159.4	18.5995
159.6	18.5576
159.757	18.527
159.876	18.505
160.114	18.4645
160.233	18.4458
160.471	18.4119
160.59	18.3965
160.71	18.3822
160.829	18.369
160.948	18.3569
161.067	18.3459
161.186	18.3359
161.305	18.327
161.543	18.3124
161.781	18.3019
161.9	18.2981
162.138	18.2938
162.376	18.2935
162.614	18.2973
163.2	18.3233
164	18.3967
165	18.609
166	18.8213
167	19.0337
167.7	19.2585
168	19.363
168.3	19.4723
168.7	19.6254
169.1	19.7867
169.428	19.9248
170.341	20.3368
170.797	20.557
171	20.6581
171.253	20.7865
171.367	20.8453
171.709	21.0249
172.052	21.21
172.508	21.4634
173.508	22.0498
