Taxon_name	Status	MinAge	MaxAge	Site
Prodeshayesites	extinct	113.2	121.4	1849
Deshayesites	extinct	113.2	121.4	1849
Parahoplites	extinct	113.2	121.4	1850
Tropaeum	extinct	113.2	121.4	1850
Douvilleiceras	extinct	100.5	113.2	1852
Roberticeras	extinct	100.5	113.2	1852
Aconeceras	extinct	110.1	113.2	1853
Leymeriella	extinct	110.1	113.2	1853
Anadesmoceras	extinct	110.1	113.2	1853
Parahoplites	extinct	113.2	121.4	1854
Parahoplites	extinct	113.2	121.4	1855
Parahoplites	extinct	113.2	121.4	1856
Prodeshayesites	extinct	113.2	121.4	1859
Australiceras	extinct	113.2	121.4	1859
Pavlovia	extinct	113.2	121.4	1860
Leymeriella	extinct	110.1	113.2	1861
Neoleymeriella	extinct	110.1	113.2	1861
Anadesmoceras	extinct	110.1	113.2	1861
Leymeriella	extinct	110.1	113.2	1862
Neoleymeriella	extinct	110.1	113.2	1862
Anadesmoceras	extinct	110.1	113.2	1862
Aconeceras	extinct	110.1	113.2	1862
Eogaudryceras	extinct	110.1	113.2	1862
Douvilleiceras	extinct	110.1	113.2	1862
Roberticeras	extinct	110.1	113.2	1862
Sonneratia	extinct	110.1	113.2	1862
Douvilleiceras	extinct	110.1	113.2	1863
Beudanticeras	extinct	110.1	113.2	1863
Sonneratia	extinct	110.1	113.2	1863
Hoplites	extinct	110.1	113.2	1863
Protohoplites	extinct	110.1	113.2	1863
Protanisoceras	extinct	110.1	113.2	1863
Cleoniceras	extinct	110.1	113.2	1863
Leymeriella	extinct	110.1	113.2	1864
Aconeceras	extinct	110.1	113.2	1864
Colombiceras	extinct	113.2	121.4	1866
Cheloniceras	extinct	113.2	121.4	1866
Tropaeum	extinct	113.2	121.4	1866
Deshayesites	extinct	113.2	121.4	1866
Toxoceratoides	extinct	113.2	121.4	1866
Prodeshayesites	extinct	113.2	121.4	1866
Deshayesites	extinct	113.2	121.4	1867
Aconeceras	extinct	113.2	121.4	1867
Cheloniceras	extinct	113.2	121.4	1867
Tonohamites	extinct	113.2	121.4	1867
Sanmartinoceras	extinct	113.2	121.4	1867
Prodeshayesites	extinct	113.2	121.4	1867
Colombiceras	extinct	113.2	121.4	1867
Tropaeum	extinct	113.2	121.4	1867
Douvilleiceras	extinct	110.1	113.2	1869
Sonneratia	extinct	110.1	113.2	1869
Hamites	extinct	110.1	113.2	1869
Tropaeum	extinct	113.2	121.4	1870
Australiceras	extinct	113.2	121.4	1870
Tonohamites	extinct	113.2	121.4	1870
Cheloniceras	extinct	113.2	121.4	1870
Dufrenoyia	extinct	113.2	121.4	1870
Ancyloceras	extinct	113.2	121.4	1870
Prodeshayesites	extinct	113.2	121.4	1870
Calycoceras	extinct	89.8	93.9	1987
Acanthoceras	extinct	89.8	93.9	1987
Metoicoceras	extinct	89.8	93.9	1987
