scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	BodyMass	Eurasia	NAmerica
Stromeriella	0	0	0	0	0	1	0	0	-0.659138676233583	1	0
Taxidea	0	0	0	0	0	1	0	0	-0.482291859651965	0	1
Taxodon	0	0	0	0	0	1	0	0	-0.674338319025835	1	0
Temnocyon	1	0	0	0	0	0	0	0	0.628691882949148	0	1
Tephrocyon	0	1	0	0	0	0	0	0	0.289773390905131	0	1
Teruelictis	0	0	0	0	0	1	0	0	-0.305943391165354	1	0
Thalassictis	0	0	0	0	1	0	0	0	0.439356003050533	1	0
Thaumastocyon	0	0	0	0	0	0	1	0	1.3802245722202	1	0
Theriodictis	0	1	0	0	0	0	0	0	-0.108215591187781	0	1
Thos	0	1	0	0	0	0	0	0	0.708117053401048	1	0
Tisisthenes	0	0	0	0	0	1	0	0	-1.91734136081062	0	1
Tomarctus	0	1	0	0	0	0	0	0	0.317677222735943	0	1
Tremarctos	0	0	0	0	0	0	1	0	1.58614812537684	0	1
Trigonictis	0	0	0	0	0	1	0	0	-0.55559442731935	0	1
Trocharion	0	0	0	0	0	1	0	0	-1.36120503422428	1	0
Trochictis	0	0	0	0	0	1	0	0	-0.724700071414818	1	0
Trochotherium	0	0	0	0	0	1	0	0	-0.34447604784341	1	0
Tyrrhenolutra	0	0	0	0	0	1	0	0	-0.2094458345682	1	0
Urocyon	0	1	0	0	0	0	0	0	-0.738788725705022	0	1
Ursavus	0	0	0	0	0	0	1	0	0.99592218772473	1	1
Ursulus	0	0	0	0	0	0	1	0	0.564128498307214	1	0
Ursus	0	0	0	0	0	0	1	0	1.60815408100667	1	1
Viretailurus	0	0	1	0	0	0	0	0	0.581465183899046	1	0
Viretictis	0	0	0	1	0	0	0	0	-1.19064693402403	1	0
Vishnufelis	0	0	1	0	0	0	0	0	-0.986969245118055	1	0
Vishnuictis	0	0	0	0	0	0	0	1	-1.04222521580587	1	0
Vishnuonyx	0	0	0	0	0	1	0	0	-0.357724210143566	1	0
Viverra	0	0	0	0	0	0	0	1	-0.0913077811580453	1	0
Viverrictis	0	0	0	0	0	0	0	1	-1.01247643528184	1	0
Viverricula	0	0	0	0	0	0	0	1	-0.795543369343633	1	0
Vormela	0	0	0	0	0	1	0	0	-1.74664771874672	1	0
Vulpes	0	1	0	0	0	0	0	0	-0.818312062957864	1	1
Watay	0	0	0	0	0	1	0	0	-0.718157418543137	0	1
Xenictis	0	0	0	0	0	1	0	0	-2.45372266056964	1	0
Xenocyon	0	1	0	0	0	0	0	0	0.895924837964682	1	1
Xenosmilus	0	0	1	0	0	0	0	0	1.49538073931417	0	1
Ysengrinia	1	0	0	0	0	0	0	0	1.65260906994734	1	1
Zaragocyon	0	0	0	0	0	0	1	0	0.455010144324481	1	0
Zodiolestes	0	0	0	0	0	1	0	0	0.300017882783765	0	1
