scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	LogBodyMass	Eurasia	NAmerica
Promeles	0	0	0	0	0	1	0	0	-0.66085876647765	1	0
Promephitis	0	0	0	0	0	1	0	0	-0.972946731212748	1	0
Proputorius	0	0	0	0	0	1	0	0	-1.20339429791325	1	0
Prosansanosmilus	0	0	0	1	0	0	0	0	0.287846307639798	1	0
Protarctos	0	0	0	0	0	1	0	0	-1.50152523177128	1	0
Protepicyon	0	1	0	0	0	0	0	0	0.710316748811619	0	1
Protictitherium	0	0	0	0	1	0	0	0	-0.336285650947754	1	0
Protocyon	0	1	0	0	0	0	0	0	0.269129575137647	0	1
Protomarctus	0	1	0	0	0	0	0	0	-0.198071149978109	0	1
Protoprocyon	0	0	0	0	0	1	0	0	-1.28025151325341	0	1
Protursus	0	0	0	0	0	1	0	0	0.295868614041464	1	0
Psalidocyon	0	1	0	0	0	0	0	0	-0.483144226190053	0	1
Pseudaelurus	0	0	1	0	0	0	0	0	0.0391133832605024	1	1
Pseudailurus	0	0	0	1	0	0	0	0	1.18723044356517	1	0
Pseudarctos	1	0	0	0	0	0	0	0	0.768088558177543	1	0
Pseudocyon	1	0	0	0	0	0	0	0	2.00280793106557	1	1
Puijila	0	0	0	0	0	1	0	0	-0.425964206746788	0	1
Puma	0	0	1	0	0	0	0	0	0.450436234353872	1	1
Putorius	0	0	0	0	0	1	0	0	-0.7317207244933	1	0
Rhizosmilodon	0	0	1	0	0	0	0	0	1.1816693230829	0	1
Rhodanictis	0	0	0	0	0	1	0	0	-0.371754905234931	1	0
Sabadellictis	0	0	0	0	0	1	0	0	0.388355768055268	1	0
Sansanosmilus	0	0	0	1	0	0	0	0	1.18453709143103	1	0
Sardolutra	0	0	0	0	0	1	0	0	-0.545678913970391	1	0
Satherium	0	0	0	0	0	1	0	0	-0.0147898132412272	0	1
Schlossericyon	0	0	0	0	0	0	0	1	-0.223487536642888	1	0
Semantor	0	0	0	0	0	1	0	0	-1.63663707335643	1	0
Semigenetta	0	0	0	0	0	0	0	1	-0.917667013294099	1	0
Shandgolictis	0	0	0	1	0	0	0	0	-1.40854616929095	1	0
Siamogale	0	0	0	0	0	1	0	0	-0.400373167548846	1	0
Simocyon	0	0	0	0	0	1	0	0	0.413444192617038	1	1
Sinictis	0	0	0	0	0	1	0	0	-0.741216585257774	1	0
Sivanasua	0	0	0	0	0	0	0	1	-0.767512208954223	1	0
Sivaonyx	0	0	0	0	0	1	0	0	0.0302729643927065	1	0
Smilodon	0	0	1	0	0	0	0	0	1.79758711290182	0	1
Sminthosinis	0	0	0	0	0	1	0	0	-2.05343292972815	0	1
Spilogale	0	0	0	0	0	1	0	0	-2.04079482768669	0	1
Stenogale	0	0	0	1	0	0	0	0	-0.879110926717061	1	0
Sthenictis	0	0	0	0	0	1	0	0	-0.696177069833495	1	1
Stromeriella	0	0	0	0	0	1	0	0	-0.650496634842123	1	0
Taxidea	0	0	0	0	0	1	0	0	-0.473177476860053	0	1
Taxodon	0	0	0	0	0	1	0	0	-0.665736874466717	1	0
Temnocyon	1	0	0	0	0	0	0	0	0.640773599996797	0	1
Tephrocyon	0	1	0	0	0	0	0	0	0.300949888179725	0	1
Teruelictis	0	0	0	0	0	1	0	0	-0.296357998014404	1	0
Thalassictis	0	0	0	0	1	0	0	0	0.450932021571083	1	0
Thaumastocyon	0	0	0	0	0	0	1	0	1.39431356318885	1	0
Theriodictis	0	1	0	0	0	0	0	0	-0.098102085471646	0	1
Thos	0	1	0	0	0	0	0	0	0.720410907692485	1	0
Tisisthenes	0	0	0	0	0	1	0	0	-1.91205986177765	0	1
Tomarctus	0	1	0	0	0	0	0	0	0.328928248550319	0	1
Tremarctos	0	0	0	0	0	0	1	0	1.60078711900522	0	1
Trigonictis	0	0	0	0	0	1	0	0	-0.546675828868586	0	1
Trocharion	0	0	0	0	0	1	0	0	-1.35443814678331	1	0
Trochictis	0	0	0	0	0	1	0	0	-0.716233138412721	1	0
Trochotherium	0	0	0	0	0	1	0	0	-0.334993571834936	1	0
Tyrrhenolutra	0	0	0	0	0	1	0	0	-0.199602705417788	1	0
Urocyon	0	1	0	0	0	0	0	0	-0.730359422188298	0	1
Ursavus	0	0	0	0	0	0	1	0	1.00898474276426	1	1
Ursulus	0	0	0	0	0	0	1	0	0.576037772558836	1	0
Ursus	0	0	0	0	0	0	1	0	1.622851850496	1	1
Viretailurus	0	0	1	0	0	0	0	0	0.593420762825583	1	0
Viretictis	0	0	0	1	0	0	0	0	-1.18342450175921	1	0
Vishnufelis	0	0	1	0	0	0	0	0	-0.97920280868806	1	0
Vishnuictis	0	0	0	0	0	0	0	1	-1.03460636293482	1	0
Vishnuonyx	0	0	0	0	0	1	0	0	-0.348277118744525	1	0
Viverra	0	0	0	0	0	0	0	1	-0.0811491162537357	1	0
Viverrictis	0	0	0	0	0	0	0	1	-1.00477812618463	1	0
Viverricula	0	0	0	0	0	0	0	1	-0.787265652201924	1	0
Vormela	0	0	0	0	0	1	0	0	-1.7409103128702	1	0
Vulpes	0	1	0	0	0	0	0	0	-0.810095158879325	1	1
Watay	0	0	0	0	0	1	0	0	-0.709673010723682	0	1
Xenictis	0	0	0	0	0	1	0	0	-2.44987378610522	1	0
Xenocyon	0	1	0	0	0	0	0	0	0.908720309382689	1	1
Xenosmilus	0	0	1	0	0	0	0	0	1.50977730169568	0	1
Ysengrinia	1	0	0	0	0	0	0	0	1.66742557457784	1	1
Zaragocyon	0	0	0	0	0	0	1	0	0.466627973600549	1	0
Zodiolestes	0	0	0	0	0	1	0	0	0.311221742143436	0	1
