scientificName	earliestAge	latestAge	higherGeography	site
Crocuta	1.29585	0.58243333333333	Eurasia	now_24064
Ictitherium	9.9	8.9	Eurasia	now_24921
Hyaenictitherium	9.9	8.9	Eurasia	now_24921
Hyaenictitherium	9.9	8.9	Eurasia	now_24921
Hyaenictitherium	7.2	5.3	Eurasia	now_24918
Ictitherium	7.2	5.3	Eurasia	now_24918
Hyaenictitherium	7.2	5.3	Eurasia	now_24918
Lycyaena	8.9	7.1	Eurasia	now_23413
Protictitherium	12.85	11.2	Eurasia	now_21002
Thalassictis	12.85	11.2	Eurasia	now_21002
Protictitherium	11.657	11.146	Eurasia	now_21003
Thalassictis	11.657	11.146	Eurasia	now_21003
Hyaenictitherium	11.657	11.146	Eurasia	now_21003
Thalassictis	11.2	9.9	Eurasia	now_20254
Adcrocuta	7.1	5.3	Eurasia	now_24474
Crocuta	1.9	0.0117	Eurasia	now_27239
Eomellivora	1.80951	0.0117	Eurasia	now_23056
Arctonyx	1.9	0.0117	Eurasia	now_27239
Meles	0.774	0.424	Eurasia	now_28667
Lutra	0.774	0.424	Eurasia	now_28667
Mustela	0.774	0.424	Eurasia	now_28667
Mustela	0.774	0.424	Eurasia	now_28667
Lutra	5	3.55	Eurasia	now_20350
Parataxidea	7.2	5.3	Eurasia	now_24482
Proputorius	7.2	5.3	Eurasia	now_24482
Oligobunis	15.2	12.5	Eurasia	now_20975
Martes	2.5	1.9	Eurasia	now_20498
Promeles	11.2	9.9	Eurasia	now_20409
Eomellivora	11.2	9.9	Eurasia	now_20409
Lutra	1.9	0.0117	Eurasia	now_27267
Plesiogulo	7.1	5.3	Eurasia	now_20103
Vormela	7.1	5.3	Eurasia	now_20103
Mustela	7.1	5.3	Eurasia	now_20103
Trochictis	16.4	14.2	Eurasia	now_20164
Plesiogulo	7.1	5.3	Eurasia	now_20822
Plesiogulo	11.63	7.246	Eurasia	now_28087
Vormela	11.63	7.246	Eurasia	now_28087
Mustela	11.63	7.246	Eurasia	now_28087
Parataxidea	8.9	7.6	Eurasia	now_23310
Parataxidea	14.2	12.85	Eurasia	now_22943
Lutrogale	1.29585	0.58243333333333	Eurasia	now_24150
Plesiogulo	14.2	12.85	Eurasia	now_22944
Arctonyx	1.29585	0.58243333333333	Eurasia	now_24042
Martes	4.6	4.2	Eurasia	now_20775
Sivaonyx	7.1	5.4	Eurasia	now_20610
Sivaonyx	5.4	4.6	Eurasia	now_20612
Gulo	5.4	4.6	Eurasia	now_20612
Limnonyx	11.2	9.9	Eurasia	now_21134
Meles	3.55	2.5	Eurasia	now_20470
Xenictis	3.55	2.5	Eurasia	now_20470
Lutra	3.55	2.5	Eurasia	now_20470
Mustela	1.9	0.0117	Eurasia	now_27237
Martes	1.9	0.0117	Eurasia	now_27237
Parameles	1.9	0.0117	Eurasia	now_27237
Mustela	0.761	0.621	Eurasia	now_28669
Meles	0.761	0.621	Eurasia	now_28669
Sinictis	8.9	7.6	Eurasia	now_20227
Lutra	8.9	7.6	Eurasia	now_20227
Mustela	1.9	0.0117	Eurasia	now_27997
Martes	1.9	0.0117	Eurasia	now_27997
Meles	1.9	0.0117	Eurasia	now_27997
Vormela	1.9	0.0117	Eurasia	now_27997
Martes	1.9	0.0117	Eurasia	now_28001
Martes	14.2	12.85	Eurasia	now_21243
Martes	19.5	17.2	Eurasia	now_21484
Mustela	0.3	0.243	Eurasia	now_27465
Gulo	0.3	0.243	Eurasia	now_27465
Mustela	0.3	0.243	Eurasia	now_27465
Meles	0.3	0.243	Eurasia	now_27465
Mustela	0.3	0.243	Eurasia	now_27465
Gaillardina	12.85	11.2	Eurasia	now_27308
Ischyrictis	12.85	11.2	Eurasia	now_27303
Trocharion	12.85	11.2	Eurasia	now_27303
Martes	12.85	11.2	Eurasia	now_27303
Martes	12.85	11.2	Eurasia	now_27303
Martes	12.85	11.2	Eurasia	now_27303
Grivamephitis	12.85	11.2	Eurasia	now_27303
Trochotherium	12.85	11.2	Eurasia	now_21405
Grivamephitis	12.85	11.2	Eurasia	now_21405
Proputorius	12.85	11.2	Eurasia	now_21405
Rhodanictis	12.85	11.2	Eurasia	now_21405
Paralutra	12.85	11.2	Eurasia	now_27301
Ischyrictis	12.85	11.2	Eurasia	now_20004
Ischyrictis	12.85	11.2	Eurasia	now_20004
Proputorius	16.4	14.2	Eurasia	now_21223
Ischyrictis	16.4	14.2	Eurasia	now_20300
Trochictis	17.2	16.4	Eurasia	now_20008
Arctonyx	1.9	0.0117	Eurasia	now_27250
Lutra	1.9	0.0117	Eurasia	now_27250
Grivamephitis	17.2	16.4	Eurasia	now_20016
Ischyrictis	17.2	16.4	Eurasia	now_20016
Meles	1.29585	0.58243333333333	Eurasia	now_24083
Plesiogulo	7.1	5.3	Eurasia	now_21384
Baranogale	7.1	5.3	Eurasia	now_21384
Mustela	7.1	5.3	Eurasia	now_21384
Sabadellictis	7.1	5.3	Eurasia	now_21384
Stromeriella	19.5	17.2	Eurasia	now_27401
Trocharion	16.4	14.2	Eurasia	now_27287
Martes	16.4	14.2	Eurasia	now_27287
Martes	16.4	14.2	Eurasia	now_27287
Plesiogale	21.7	19.5	Eurasia	now_20888
Plesictis	21.7	19.5	Eurasia	now_20888
Stromeriella	19.5	17.2	Eurasia	now_21483
Mustela	1.9	0.0117	Eurasia	now_24283
Martes	16.4	14.2	Eurasia	now_24054
Arctonyx	1.9	0.0117	Eurasia	now_27254
Martes	5.3	3.4	Eurasia	now_26489
Arctonyx	1.80951	1.1531666666667	Eurasia	now_24080
Lutra	0.653775	0.0117	Eurasia	now_24111
Martes	0.653775	0.0117	Eurasia	now_24111
Arctonyx	0.653775	0.0117	Eurasia	now_24111
Martes	0.653775	0.0117	Eurasia	now_24111
Enhydrictis	3.55	1.9	Eurasia	now_21036
Meles	2.5	1.9	Eurasia	now_27076
Eirictis	2.5	1.9	Eurasia	now_27076
Martes	1.80951	1.1531666666667	Eurasia	now_24130
Lutra	1.80951	1.1531666666667	Eurasia	now_24126
Arctonyx	1.80951	1.1531666666667	Eurasia	now_24126
Martes	1.80951	1.1531666666667	Eurasia	now_24138
Paludolutra	7.6	7.1	Eurasia	now_20088
Sivaonyx	7.6	7.1	Eurasia	now_20088
Plesiogulo	7.6	7.1	Eurasia	now_20088
Martes	7.6	7.1	Eurasia	now_20088
Paludolutra	7.6	7.1	Eurasia	now_20063
Baranogale	7.6	7.1	Eurasia	now_20063
Eomellivora	11.2	9.9	Eurasia	now_20022
Martes	19.5	17.2	Eurasia	now_27416
Hoplictis	16.4	14.2	Eurasia	now_27288
Martes	7.6	7.1	Eurasia	now_20946
Eomellivora	7.6	7.1	Eurasia	now_20946
Proputorius	7.6	7.1	Eurasia	now_20946
Sivaonyx	7.6	7.1	Eurasia	now_20946
Lutra	7.6	7.1	Eurasia	now_20946
Mustela	7.6	7.1	Eurasia	now_20946
Lutra	0.3786	0.29706666666667	Eurasia	now_27114
Mustela	0.3786	0.29706666666667	Eurasia	now_27114
Meles	0.3786	0.29706666666667	Eurasia	now_27114
Siamogale	13.363	13.183	Eurasia	now_24059
Mustela	5	3.55	Eurasia	now_20739
Pannonictis	5	3.55	Eurasia	now_20739
Martes	8.9	7.1	Eurasia	now_20024
Promeles	8.9	7.1	Eurasia	now_20024
Melodon	8.9	7.1	Eurasia	now_20024
Parataxidea	8.9	7.1	Eurasia	now_20024
Promeles	7.6	7.1	Eurasia	now_27209
Martes	7.6	7.1	Eurasia	now_27205
Lutra	7.1	5	Eurasia	now_20175
Martes	7.1	5	Eurasia	now_20175
Promeles	7.1	5	Eurasia	now_20175
Matanomictis	27.82	23.03	Eurasia	now_26792
Martes	19.5	17.2	Eurasia	now_21880
Stromeriella	19.5	17.2	Eurasia	now_23069
Martes	16.4	14.2	Eurasia	now_23066
Ischyrictis	16.4	14.2	Eurasia	now_23066
Rhodanictis	16.4	14.2	Eurasia	now_23066
Amblonyx	0.1	0	Eurasia	now_27684
Martes	19.5	17.2	Eurasia	now_21542
Stromeriella	19.5	17.2	Eurasia	now_21542
Plesictis	19.5	17.2	Eurasia	now_21542
Laphyctis	19.5	17.2	Eurasia	now_21542
Martes	7.6	7.1	Eurasia	now_20462
Melodon	7.6	7.1	Eurasia	now_20462
Parataxidea	7.6	7.1	Eurasia	now_20462
Martes	11.2	8.9	Eurasia	now_20206
Eomellivora	11.2	8.9	Eurasia	now_20206
Eomellivora	11.2	9.9	Eurasia	now_27643
Stromeriella	19.5	17.2	Eurasia	now_22347
Stenogale	21.7	19.5	Eurasia	now_20870
Stenogale	21.7	19.5	Eurasia	now_20870
Bathygale	21.7	19.5	Eurasia	now_20870
Plesictis	21.7	19.5	Eurasia	now_20870
Plesictis	21.7	19.5	Eurasia	now_20870
Plesiogale	21.7	19.5	Eurasia	now_20870
Paragale	21.7	19.5	Eurasia	now_20870
Plesictis	21.7	19.5	Eurasia	now_20870
Enhydriodon	8.9	7.1	Eurasia	now_20266
Mustela	8.9	7.1	Eurasia	now_20266
Paludolutra	8.9	7.1	Eurasia	now_20266
Enhydrictis	1.9	0.0117	Eurasia	now_28040
Pannonictis	1.9	0.0117	Eurasia	now_28033
Mustela	1.9	0.0117	Eurasia	now_28033
Enhydrictis	1.9	0.0117	Eurasia	now_28039
Martes	2.5	1.9	Eurasia	now_27463
Mustela	2.5	1.9	Eurasia	now_27463
Mustela	2.5	1.9	Eurasia	now_27463
Enhydrictis	2.5	1.9	Eurasia	now_27463
